tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,negative,1,Customer Service Issue,1,American,,rakugojon,,0,@AmericanAir tried ringing but told me to try again Late Flightr. I'm supposed to be leaving in an hour...,,22/02/2015 12:57,San Francisco,London
5.70E+17,positive,1,,,American,,mattlantz,,0,@AmericanAir You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!,,22/02/2015 12:57,"Tyler, Texas",Central Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.6925,American,,tj_carlson,,0,.@AmericanAir cover a rental car or refund our ticket? - I'll gladly drive 10 hrs home than be stuck here till Tues!,,22/02/2015 12:55,"Brookings, SD",Central Time (US & Canada)
5.70E+17,negative,1,Flight Attendant Complaints,1,American,,stevereasnors,,0,@AmericanAir should reconsider #usairways acquisition. Flight 1843 AA gold flyers insulted by attendant for hanging jacket!,,22/02/2015 12:55,Los Angeles,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,0.3606,American,,ronrisman,,0,@AmericanAir   You neglected to mention the $200 fee per ticket.  I had a medical reason and still have had to jump thru hoops.,,22/02/2015 12:55,New England,Central Time (US & Canada)
5.70E+17,neutral,1,,,American,,elizabethlawley,,0,@AmericanAir yes and I would like a refund.,,22/02/2015 12:55,Chicago,Central Time (US & Canada)
5.70E+17,neutral,1,,,American,,SamuelWatkin,,0,@AmericanAir how realistic is it to make an 80 minute domestic to international transfer at JFK for a non US citizen?,,22/02/2015 12:55,"Maidstone, UK",London
5.70E+17,positive,1,,,American,,EricRoberts,,1,Eliza &amp; I cheated on u @AmericanAir with @AirTahitiNui &amp; it was a lovely flight. But we'll be back! Lots!,,22/02/2015 12:54,"Los Angeles, CA",Pacific Time (US & Canada)
5.70E+17,positive,0.6868,,,American,,IoanGil,,0,@AmericanAir I hope you like the photo :) http://t.co/p7fSLuxEGW,,22/02/2015 12:53,,London
5.70E+17,negative,1,Customer Service Issue,0.7282,American,,otisday,,0,"@AmericanAir @sweetmel If weather is bad, wouldn't your folks try extra hard to communicate...or load bags onto flight 1320...or...anything?",,22/02/2015 12:53,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.3688,American,,sa_craig,,0,"@AmericanAir and how is this not a mechanical issue? All evidence points to the idea that it’s the ILS at CLL at fault, not the weather.",,22/02/2015 12:53,"College Station, TX",Central Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,0.6773,American,,otisday,,0,"@AmericanAir @CAexhibitions Sorry in, like, a general way? Or sorry that incompetence/understaffing is compounding weather issues?",,22/02/2015 12:52,Pekin,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,American,,SentieriMelinda,,0,@AmericanAir please help us get home tomorrow!!!!!,,22/02/2015 12:52,,
5.70E+17,negative,1,Customer Service Issue,0.6887,American,,otisday,,0,"@AmericanAir @tennetexan Too bad there's only, like, 3 people on that team, then. Because this is next level unreal.",,22/02/2015 12:51,Pekin,Eastern Time (US & Canada)
